Year,Month,PostFire_realistic,PreFire_base,HistAvgFlow
1999,10,290.7250832,290.7,200.6909
1999,11,278.9939715,278.8,327.5403
1999,12,307.3593961,304.1,302.1747
2000,1,2180.014355,2035.2,1367.5927
2000,2,5397.343364,5302.6,3079.2413
2000,3,3195.72064,3157.4,2369.2579
2000,4,2518.851822,2511.1,2709.3917
2000,5,1544.294709,1513.5,1581.9448
2000,6,929.8085633,893.7,569.0361
2000,7,711.1497554,672.6,236.4704
2000,8,590.70717,553.1,163.6102
2000,9,515.1845655,479.4,170.2403
2000,10,461.6903274,427.7,182.6384
2000,11,429.9275245,389.2,207.5486
2000,12,551.7333174,363.4,257.125
2001,1,734.538149,541.6,249.3185
2001,2,1189.417988,1014.5,399.7322
2001,3,2000.556825,1653.6,1059.5632
2001,4,1670.349958,1602.7,983.125
2001,5,986.9945797,956.3,894.164
2001,6,619.7092085,588.2,199.4819
2001,7,490.7138838,461.6,171.9046
2001,8,419.0221966,392.6,148.4852
2001,9,373.7236902,349.6,145.368
2001,10,340.7303629,319.4,146.371
2001,11,843.7672415,366,378.9653
2001,12,2114.692129,1780.3,757.7137
2002,1,2070.148617,1936.1,1363.8522
2002,2,1725.764186,1648,900.1176
2002,3,1981.667258,1917.7,1255.8629
2002,4,1764.932042,1751.5,1824.4111
2002,5,1228.387162,1214.2,1008.1707
2002,6,751.2662727,736.4,399.9722
2002,7,576.7042272,558.2,176.9462
2002,8,482.1495949,462.3,142.793
2002,9,423.6169838,403.9,722.1347
2002,10,382.4961653,363.3,778.8562
2002,11,623.1675967,355.6,2153.4639
2002,12,3944.553647,3363.2,2990.0337
2003,1,3592.494576,3480,2475.2956
2003,2,2227.368498,2135.9,1448.3989
2003,3,2484.580377,2454.7,1960.2325
2003,4,3279.025737,3232.2,2232.114
2003,5,2730.29189,2736.4,2979.6251
2003,6,1064.610165,1038.2,1066.6486
2003,7,727.3850238,697.7,273.5511
2003,8,584.2627119,552.1,195.9745
2003,9,499.7996188,468.5,167.5514
2003,10,443.8872573,413.7,160.5202
2003,11,408.3639767,374.2,211.2458
2003,12,1851.672142,1186.4,1039.5591
2004,1,1400.874311,1241.8,893.0255
2004,2,4299.285054,4129.3,2339.3333
2004,3,2925.889757,2833.8,2798.9383
2004,4,2115.447108,2059.3,1749.1223
2004,5,1096.748298,1047.6,1071.1102
2004,6,766.3245585,720.9,373.9236
2004,7,616.1764728,572.8,172.0672
2004,8,523.7079708,482.8,133.1976
2004,9,463.4137069,425,140.3264
2004,10,520.9577911,385.3,164.9113
2004,11,467.3468816,356.7,177.1306
2004,12,1227.494327,790.7,315.836
2005,1,1571.95077,1397.5,458.4664
2005,2,1766.24839,1611.2,455.9107
2005,3,3190.047504,3086.1,1743.7661
2005,4,3182.807896,3156.5,2018.8513
2005,5,3626.894605,3615.1,3518.5955
2005,6,1350.500803,1332.1,1165.1292
2005,7,896.3250388,868.6,399.2675
2005,8,671.410751,638.5,210.9368
2005,9,557.5254185,523.7,243.8486
2005,10,486.6318085,453.5,279.0806
2005,11,593.6396033,409.6,443.1625
2005,12,6627.798194,6126.1,4435.0405
2006,1,6897.984597,6664.3,4067.8117
2006,2,3446.260071,3336,3083.8795
2006,3,5020.032908,4887.4,4297.6142
2006,4,7414.889568,7215.1,6893.6391
2006,5,3140.043029,3222.1,5320.9102
2006,6,1285.862642,1292,1780.7167
2006,7,924.8777325,920.4,453.2621
2006,8,739.9056036,731.3,122.1384
2006,9,627.9571527,618.3,131.2514
2006,10,550.081026,540.2,130.2702
2006,11,500.3725016,482.2,191.0792
2006,12,1526.35731,952.4,487.7406
2007,1,898.6693842,759.3,338.117
2007,2,2587.375581,2432.4,1102.6846
2007,3,2276.67363,2161.5,1136.6519
2007,4,1564.966481,1569.3,817.2542
2007,5,1154.649216,1153.3,557.9987
2007,6,766.2995439,752.8,198.4736
2007,7,602.8361554,584.8,164.9113
2007,8,508.0138146,489.2,128.3185
2007,9,447.5059064,429.9,124.1931
2007,10,405.9049693,388.3,169.6277
2007,11,376.4497887,356.1,162.0056
2007,12,582.4110636,359.1,192.0712
2008,1,1401.066073,1177.9,392.9247
2008,2,1287.198461,1124.4,425.4123
2008,3,2074.986351,1774.6,1079.8925
2008,4,2019.387202,1976,1013.0389
2008,5,1240.33815,1227.5,1240.4126
2008,6,742.9133652,727.5,320.3139
2008,7,574.0461316,556.5,157.1048
2008,8,482.933733,465,115.1452
2008,9,427.048886,409.5,114.4458
2008,10,391.544133,372.2,132.2218
2008,11,545.606217,350.1,286.3667
2008,12,476.203055,340.1,191.9086
2009,1,1091.709783,789.7,387.3952
2009,2,2720.705387,2457,1262.3973
2009,3,3749.499267,3524.8,2310.3844
2009,4,2087.841313,2000.3,1318.0597
2009,5,2494.936982,2472.5,2053.91
2009,6,873.7170493,851.5,434.0875
2009,7,635.773283,612.7,166.2124
2009,8,513.4249379,490.6,135.3118
2009,9,444.1971152,422.5,130.4111
2009,10,404.9746358,379.4,174.9946
2009,11,378.3479538,344.3,161.3333
2009,12,712.6145559,346.8,220.3696
2010,1,2138.754066,1819.3,601.422
2010,2,2319.264493,2140.7,705.8333
2010,3,2501.4028,2405.5,1117.1358
2010,4,3004.837017,2943.2,1882.2222
2010,5,2311.859696,2317.3,2287.1278
2010,6,1257.742332,1245.2,1876.5084
2010,7,789.5369958,769.6,359.7473
2010,8,608.6032737,585.7,161.8212
2010,9,512.798371,489.7,150.0736
2010,10,568.662064,444.7,172.2298
2010,11,897.4750132,597.1,334.2625
2010,12,5215.64359,4882.4,2549.2944
2011,1,2323.441398,2253.1,1040.8602
2011,2,2470.581147,2395.8,975.7425
2011,3,5616.103735,5499.5,3814.7526
2011,4,7229.280904,6790,4521.3668
2011,5,4916.073838,5061,3495.1761
2011,6,3274.345068,3295.5,3323.1306
2011,7,1465.06827,1455.6,1039.3965
2011,8,910.1134352,899,299.5726
2011,9,731.4557074,718,176.6264
2011,10,640.3893507,614.7,208.0094
2011,11,570.9572662,537.8,242.5042
2011,12,538.7788984,493,187.1922
2012,1,1295.184156,1023.3,450.8226
2012,2,1019.730713,895.1,362.6523
2012,3,4418.911225,4250.6,1983.6519
2012,4,3900.346178,3878.3,2318.6625
2012,5,1762.297473,1749.1,1297.8226
2012,6,935.8630722,919.8,400.4764
2012,7,707.1327084,689.4,192.5591
2012,8,579.5654774,560.7,156.7796
2012,9,501.5599585,484.2,136.293
2012,10,448.0186975,431.7,147.8347
2012,11,1685.340067,963.6,764.8208
2012,12,4990.195785,4764.7,2673.3845
2013,1,1474.795001,1411.6,737.0591
2013,2,1460.511907,1398.2,804.506
2013,3,2109.514064,2015.1,1244.4784
2013,4,1770.434758,1732.1,1122.4431
2013,5,970.445561,950.1,437.1613
2013,6,736.733293,715,204.5236
2013,7,608.5648261,584.4,153.3643
2013,8,525.0265761,499.9,137.1008
2013,9,470.0818089,445.4,95.9597
2013,10,425.8031884,402.9,210.9368
2013,11,391.6880815,371,166.5431
2013,12,366.5703751,345.1,162.797
2014,1,348.0643335,323.4,184.2648
2014,2,2156.570409,1585.4,752.8289
2014,3,3043.076175,2900.1,1193.7366
2014,4,1862.397178,1805.9,831.875
2014,5,907.5891938,888.6,329.3347
2014,6,646.2241713,628,156.1236
2014,7,516.1471126,497.2,152.5511
2014,8,446.9084677,425.9,142.3051
2014,9,398.4959708,377.8,129.9069
2014,10,364.9660246,345,148.1599
2014,11,423.8288721,320.2,186.2056
2014,12,3472.053414,2825.3,1327.91
2015,1,1023.781199,929.2,477.0067
2015,2,2622.14059,2513.4,1526.3645
2015,3,1120.46041,1081.8,415.2057
2015,4,805.3762396,775.2,297.6264
2015,5,668.0003192,641.2,206.5457
2015,6,568.372917,542,240.8236
2015,7,489.2979734,462.4,144.4194
2015,8,432.7711963,406.3,107.3387
2015,9,393.6284281,368.1,108.5639
2015,10,362.437511,339.7,133.6855
2015,11,340.1237158,317.8,100.8333
2015,12,1639.861791,1030.6,490.9933
2016,1,3056.324408,2887,1753.6869
2016,2,2783.390428,2669,1400.3664
2016,3,7632.354242,7463.2,4550.8361
2016,4,3344.820945,3309.5,1647.4486
2016,5,1895.895733,1866.6,925.3898
2016,6,1077.470602,1052.1,362.1597
2016,7,811.0832342,781.5,153.039
2016,8,665.414372,638,130.1075
2016,9,573.9178151,549.7,122.1764
2016,10,944.9800555,525,345.5981
2016,11,1222.042604,946.8,432.9111
2016,12,5121.744938,4905.8,2125.957
2017,1,7199.050003,7101.2,4952.3805
2017,2,15526.33453,15417.8,10893.9617
2017,3,7415.952505,7137.6,4326.7259
2017,4,9054.295511,8692.3,5866.6513
2017,5,5939.05571,6158.8,3563.9704
2017,6,2362.804994,2399,1245.7958
2017,7,1053.633037,1054.6,401.707
2017,8,801.3712172,796.4,179.8737
2017,9,669.2905557,662.5,159.4847
2017,10,581.5609477,573.8,149.6237
2017,11,1790.006459,1179,882.6278
2017,12,1009.645352,908.9,372.5954
2018,1,1810.128006,1708.7,840.9825
2018,2,1406.470433,1321.3,510.1086
2018,3,3962.20625,3784.6,2939.6169
2018,4,5481.618731,5483.1,2755.2708
2018,5,1873.415364,1866.9,764.5443
2018,6,1106.216276,1097.8,341.1528
2018,7,820.5251696,808.9,173.3683
2018,8,670.7096783,657.8,126.5296
2018,9,577.1393005,564.5,97.8083
2018,10,511.1911883,498.8,139.8656
2018,11,540.624392,449.8,227.5472
2018,12,961.8442483,595.5,240.5363
2019,1,1960.349331,1812.1,1296.1962
2019,2,2953.86701,2777.3,2731.1427
2019,3,3800.425531,3653.7,3958.3589
2019,4,7446.02438,7005.1,4860.5028
2019,5,5971.69665,6003.2,2997.5147
2019,6,3667.929352,3763.8,1293.6917
2019,7,1284.454468,1287.3,521.5685
2019,8,851.3305994,845.9,163.9355
2019,9,703.5600379,686.2,138.8139
2019,10,596.1496209,583.8,164.2608
2019,11,528.9033453,514.9,158.6444
2019,12,1668.454356,1314,465.9476
2020,1,1096.549415,1047.7,537.5067
2020,2,1053.212194,942.2,463.8333
2020,3,1153.461142,1050.9,518.8038
2020,4,2304.688281,2255.5,1312.1778
2020,5,2392.75504,2437.4,934.9852
2020,6,1079.073987,1082.6,312.5833
2020,7,714.7125528,707.8,172.2298
2020,8,568.2956265,554.8,142.9556
2020,9,486.9563493,472.2,119.4875
2020,10,432.7778415,418.3,124.0901
2020,11,404.7353913,381,95.6236
2020,12,486.0180733,351,94.4906
2021,1,635.3897576,376,105.3871
2021,2,977.1451148,815.8,119.5595
2021,3,1020.626135,784,181.1747
2021,4,1457.666692,1288.4,472.4042
2021,5,862.7556641,828.8,371.2944
2021,6,558.2346553,531,168.2236
2021,7,453.2916947,429.4,132.3844
2021,8,394.6090121,372.2,132.0591
2021,9,356.3449343,335.6,119.6556
