Date,Year,Month,HistAvgFlow,adjusted_historical
1921-10-01,1921,10,11.640000343322754,12.820272886445201
1921-11-01,1921,11,16.059999465942383,21.054399266217736
1921-12-01,1921,12,33.36000061035156,49.08903523619613
1922-01-01,1922,1,35.5099983215332,42.07953120336181
1922-02-01,1922,2,75.87000274658203,81.79612186856963
1922-03-01,1922,3,76.23999786376953,79.18124487694048
1922-04-01,1922,4,163.80999755859375,165.74565200609783
1922-05-01,1922,5,317.4100036621094,311.7097335276818
1922-06-01,1922,6,138.42999267578125,136.52523179095186
1922-07-01,1922,7,29.200000762939453,29.986463422004835
1922-08-01,1922,8,12.079999923706055,12.669484990800665
1922-09-01,1922,9,9.779999732971191,10.312822447789234
1922-10-01,1922,10,12.75,14.61476284751987
1922-11-01,1922,11,19.829999923706055,26.989609899311763
1922-12-01,1922,12,53.2400016784668,66.2930504669711
1923-01-01,1923,1,48.97999954223633,54.30038332581446
1923-02-01,1923,2,36.58000183105469,38.861400091383395
1923-03-01,1923,3,62.900001525878906,70.78830924115044
1923-04-01,1923,4,115.41000366210938,118.07388355149949
1923-05-01,1923,5,86.86000061035156,88.5595201702521
1923-06-01,1923,6,39.25,40.73852179302175
1923-07-01,1923,7,17.56999969482422,18.040067948986806
1923-08-01,1923,8,8.949999809265137,9.347268892603235
1923-09-01,1923,9,7.099999904632568,7.466970148306156
1923-10-01,1923,10,6.940000057220459,7.3839489556429685
1923-11-01,1923,11,7.749999999999999,8.117739203147293
1923-12-01,1923,12,8.470000267028809,8.822687269164417
1924-01-01,1924,1,11.380000114440918,18.248706092793643
1924-02-01,1924,2,31.8799991607666,34.76120947614218
1924-03-01,1924,3,14.539999961853027,17.238873773234314
1924-04-01,1924,4,23.829999923706055,25.97308318267634
1924-05-01,1924,5,14.260000228881836,14.852999373909778
1924-06-01,1924,6,8.520000457763672,8.952151109729872
1924-07-01,1924,7,7.820000171661377,8.285259345056353
1924-08-01,1924,8,5.889999866485596,6.280371394639028
1924-09-01,1924,9,3.109999895095825,3.308577979949093
1924-10-01,1924,10,9.960000038146973,10.643661710263531
1924-11-01,1924,11,21.469999313354492,28.58094618780264
1924-12-01,1924,12,22.510000228881836,36.1683337369243
1925-01-01,1925,1,25.219999313354492,27.7772043170065
1925-02-01,1925,2,120.98000335693361,130.6917866043009
1925-03-01,1925,3,69.68000030517578,73.91744856967155
1925-04-01,1925,4,99.08000183105469,102.12359540573011
1925-05-01,1925,5,78.80999755859375,79.66933643253664
1925-06-01,1925,6,32.790000915527344,33.497879937350476
1925-07-01,1925,7,17.239999771118164,17.759439678691507
1925-08-01,1925,8,10.5600004196167,11.123648466667495
1925-09-01,1925,9,7.730000019073486,8.188821749660889
1925-10-01,1925,10,11.84000015258789,13.2475457128881
1925-11-01,1925,11,17.690000534057617,24.560456121918754
1925-12-01,1925,12,22.459999084472656,36.083050099597806
1926-01-01,1926,1,25.579999923706055,27.71495149175722
1926-02-01,1926,2,101.77999877929688,108.40215532218143
1926-03-01,1926,3,72.91999816894531,76.71621578224587
1926-04-01,1926,4,159.72000122070312,161.97815018980475
1926-05-01,1926,5,62.029998779296875,62.97747199351121
1926-06-01,1926,6,24.84000015258789,25.638575454883785
1926-07-01,1926,7,13.199999809265137,13.838940198894582
1926-08-01,1926,8,8.550000190734863,9.065512831727599
1926-09-01,1926,9,7.409999847412109,7.948455335827185
1926-10-01,1926,10,11.829999923706055,13.22482922057924
1926-11-01,1926,11,75.29000091552734,128.2719217861652
1926-12-01,1926,12,54.13999938964844,66.64809565568653
1927-01-01,1927,1,66.44999694824219,72.56554984885888
1927-02-01,1927,2,239.02000427246094,244.56093668573064
1927-03-01,1927,3,159.66000366210938,166.84200704945292
1927-04-01,1927,4,191.5399932861328,191.6473677834123
1927-05-01,1927,5,152.5800018310547,150.84393851724693
1927-06-01,1927,6,67.66999816894531,68.08755530715017
1927-07-01,1927,7,21.219999313354492,21.777470825625997
1927-08-01,1927,8,11.640000343322754,12.127169693543042
1927-09-01,1927,9,9.640000343322754,10.188176401099076
1927-10-01,1927,10,11.489999771118164,12.378796267317338
1927-11-01,1927,11,47.599998474121094,68.10986312399231
1927-12-01,1927,12,32.83000183105469,50.11556504302253
1928-01-01,1928,1,40.279998779296875,43.19554481983996
1928-02-01,1928,2,62.97999954223633,72.40368211358454
1928-03-01,1928,3,262.1300048828125,267.8806065321408
1928-04-01,1928,4,146.10000610351562,147.7303249655231
1928-05-01,1928,5,87.36000061035156,89.05677842167705
1928-06-01,1928,6,28.31999969482422,29.450563851896572
1928-07-01,1928,7,15.760000228881838,16.543337510287955
1928-08-01,1928,8,8.930000305175781,9.337136156158587
1928-09-01,1928,9,7.550000190734863,8.114589674364822
1928-10-01,1928,10,8.34000015258789,8.788827371650509
1928-11-01,1928,11,12.1899995803833,13.947338667108495
