Date,Year,Month,HistAvgFlow,adjusted_historical
1921-10-01,1921,10,2.9700000286102295,2.9698842911981442
1921-11-01,1921,11,3.549999952316284,4.069035748576615
1921-12-01,1921,12,6.730000019073486,8.472327481469256
1922-01-01,1922,1,7.199999809265137,12.406826139336774
1922-02-01,1922,2,16.360000610351562,16.52431162563534
1922-03-01,1922,3,17.280000686645508,17.5406415805125
1922-04-01,1922,4,34.77000045776367,36.11233123095219
1922-05-01,1922,5,47.529998779296875,47.580277072039074
1922-06-01,1922,6,21.209999084472656,20.997847827767657
1922-07-01,1922,7,6.320000171661377,6.588812071245395
1922-08-01,1922,8,4.570000171661377,4.835841587415437
1922-09-01,1922,9,3.5199999809265137,3.7774220398489993
1922-10-01,1922,10,3.5,3.499863609111651
1922-11-01,1922,11,4.510000228881836,5.169395043353485
1922-12-01,1922,12,13.460000038146973,28.72448539439843
1923-01-01,1923,1,12.520000457763672,18.601655326542005
1923-02-01,1923,2,8.369999885559082,12.542816781462802
1923-03-01,1923,3,13.050000190734863,13.086668311682
1923-04-01,1923,4,20.100000381469727,21.630688746159045
1923-05-01,1923,5,14.59000015258789,14.482792607407642
1923-06-01,1923,6,6.789999961853027,6.95996571058847
1923-07-01,1923,7,3.7200000286102295,3.880078013049205
1923-08-01,1923,8,3.0999999046325684,3.280329955514246
1923-09-01,1923,9,2.9700000286102295,3.1871998940952992
1923-10-01,1923,10,3.119999885559082,3.1198783028287846
1923-11-01,1923,11,3.140000104904175,3.599090943382377
1923-12-01,1923,12,3.819999933242798,4.781774590732227
1924-01-01,1924,1,4.550000190734863,6.52062724770351
1924-02-01,1924,2,11.680000305175781,13.56709419431589
1924-03-01,1924,3,3.8399999141693115,3.8574746924749572
1924-04-01,1924,4,5.320000171661377,5.362784085821455
1924-05-01,1924,5,3.2300000190734863,3.277797625744351
1924-06-01,1924,6,2.009999990463257,2.062761728995969
1924-07-01,1924,7,1.940000057220459,2.0234815885599544
1924-08-01,1924,8,1.9900000095367432,2.1057602721219237
1924-09-01,1924,9,2.309999942779541,2.4789331656781997
1924-10-01,1924,10,2.880000114440918,2.8798878842197597
1924-11-01,1924,11,4.760000228881836,5.455946860482501
1924-12-01,1924,12,5.320000171661377,6.659435101598616
1925-01-01,1925,1,6.019999980926514,8.891104659760233
1925-02-01,1925,2,29.920000076293945,30.159817439680115
1925-03-01,1925,3,12.819999694824219,12.843816049131474
1925-04-01,1925,4,16.0,16.8039234312362
1925-05-01,1925,5,12.770000457763672,12.669486279125138
1925-06-01,1925,6,5.659999847412109,5.808572699880393
1925-07-01,1925,7,3.3499999046325684,3.494156148847622
1925-08-01,1925,8,3.2699999809265137,3.4602191038569243
1925-09-01,1925,9,3.180000066757202,3.412557501130487
1925-10-01,1925,10,3.309999942779541,3.3098709559702177
1925-11-01,1925,11,3.950000047683716,4.527518765293885
1925-12-01,1925,12,5.28000020980835,6.609364210352108
1926-01-01,1926,1,6.019999980926514,8.891104659760233
1926-02-01,1926,2,25.100000381469727,25.53611311755872
1926-03-01,1926,3,14.479999542236328,14.655181537139866
1926-04-01,1926,4,26.1200008392334,26.851357321676232
1926-05-01,1926,5,9.720000267028809,9.671412784200431
1926-06-01,1926,6,4.099999904632568,4.207623349398113
1926-07-01,1926,7,2.799999952316284,2.920488754829404
1926-08-01,1926,8,2.9000000953674316,3.068695960155358
1926-09-01,1926,9,2.950000047683716,3.1657372892209414
1926-10-01,1926,10,2.950000047683716,2.9498850896473923
1926-11-01,1926,11,15.890000343322754,19.26741776117939
1926-12-01,1926,12,11.170000076293945,18.87198246020386
1927-01-01,1927,1,14.630000114440918,21.55382591782548
1927-02-01,1927,2,48.7400016784668,49.667699443902876
1927-03-01,1927,3,25.030000686645508,25.369637488952606
1927-04-01,1927,4,27.489999771118164,28.0281250524627
1927-05-01,1927,5,22.190000534057617,21.7251783504618
1927-06-01,1927,6,11.09000015258789,11.047660696987446
1927-07-01,1927,7,5.320000171661377,5.548928907721821
1927-08-01,1927,8,4.139999866485596,4.3808277405309575
1927-09-01,1927,9,3.369999885559082,3.616452247436885
1927-10-01,1927,10,3.049999952316284,3.0498810974011525
1927-11-01,1927,11,10.34000015258789,10.958685575425744
1927-12-01,1927,12,7.050000190734863,8.89262253931265
1928-01-01,1928,1,9.039999961853027,21.918048915074714
1928-02-01,1928,2,14.630000114440918,14.692182930604822
1928-03-01,1928,3,48.849998474121094,50.47734128818993
1928-04-01,1928,4,21.700000762939453,22.830670719349197
1928-05-01,1928,5,13.010000228881836,12.92340598427461
1928-06-01,1928,6,4.78000020980835,4.90547340505851
1928-07-01,1928,7,3.7200000286102295,3.880078013049205
1928-08-01,1928,8,3.3499999046325684,3.5448727020004798
1928-09-01,1928,9,2.859999895095825,3.0691553114319
1928-10-01,1928,10,2.7300000190734863,2.729893634179831
1928-11-01,1928,11,3.440000057220459,3.9429530692817756
1928-12-01,1928,12,4.639999866485596,5.808228756623782
1929-01-01,1929,1,4.190000057220459,6.0047093177326545
1929-02-01,1929,2,7.690000057220459,11.405944439910595
1929-03-01,1929,3,9.970000267028809,10.434992687297338
1929-04-01,1929,4,8.779999732971191,8.691887067802197
1929-05-01,1929,5,10.8100004196167,10.54821910066266
1929-06-01,1929,6,5.429999828338623,5.572535267410662
1929-07-01,1929,7,2.759999990463257,2.8787675259812633
1929-08-01,1929,8,2.2200000286102295,2.349139619072268
1929-09-01,1929,9,2.5199999809265137,2.7042907727133874
1929-10-01,1929,10,2.200000047683716,2.199914316266324
1929-11-01,1929,11,2.0899999141693115,2.3955730928188204
1929-12-01,1929,12,34.04999923706055,45.5816833058171
1930-01-01,1930,1,13.15999984741211,19.598743336700633
1930-02-01,1930,2,15.359999656677246,15.420222976211706
1930-03-01,1930,3,19.610000610351562,19.679679000529546
1930-04-01,1930,4,19.420000076293945,21.155493103201437
1930-05-01,1930,5,13.460000038146973,13.369075119374143
1930-06-01,1930,6,6.130000114440918,6.288472612971632
1930-07-01,1930,7,3.5899999141693115,3.7444837706146075
1930-08-01,1930,8,3.2899999618530273,3.481382503392813
1930-09-01,1930,9,2.7799999713897705,2.9833048919344693
1930-10-01,1930,10,2.009999990463257,2.009921663124891
1930-11-01,1930,11,2.5199999809265137,2.8884422947983195
1930-12-01,1930,12,1.7699999809265137,2.215639026780312
1931-01-01,1931,1,4.699999809265137,6.735592425446868
1931-02-01,1931,2,4.019999980926514,5.897504718437875
1931-03-01,1931,3,9.039999961853027,9.392512007992496
1931-04-01,1931,4,5.210000038146973,5.251899321457799
1931-05-01,1931,5,3.440000057220459,3.490905248772111
1931-06-01,1931,6,2.990000009536743,3.0684863774295232
1931-07-01,1931,7,2.9700000286102295,3.097804226112143
1931-08-01,1931,8,2.369999885559082,2.5078651155914344
